Receipt,Time,AmountKES,Till,TransID,Intent,Fence,Type
R-9001,2026-03-11 12:17:00,250.00,441122,QCV7C2B250A,int_0009,7,C2B
R-8822,2026-03-11 12:30:00,100.00,882211,TILLB100FEE,int_0011,7,C2B
R-COMMA,2026-03-11 12:45:00,"1,250.00",441122,COMMA125000,int_0012,7,C2B
R-REV0,2026-03-11 12:20:00,147.06,441122,NC4M68AB7H8091,int_0014,7,C2B
R-10000,2026-03-11 13:00:05,147.06,882211,NC4M68AB7H8095,int_0095,7,C2B
R-10001,2026-03-11 13:01:05,150.00,441122,NCXWQ77HEJ8096,int_0096,7,C2B
R-10002,2026-03-11 13:02:05,199.00,441122,NCFVKD6CBW8097,int_0097,7,C2B
R-10003,2026-03-11 13:03:05,250.00,441122,NCACZTPV428098,int_0098,7,C2B
R-10004,2026-03-11 13:04:05,333.33,441122,NCA94GNP3F8099,int_0099,7,C2B
R-10005,2026-03-11 13:05:05,501.00,441122,NC926KFFF68100,int_0100,7,C2B
R-10006,2026-03-11 13:06:05,880.00,441122,NCUZY62YVD8101,int_0101,7,C2B
R-10007,2026-03-11 13:07:05,"1,250.00",441122,NCL2B24P2C8102,int_0102,7,C2B
R-10008,2026-03-11 13:08:05,"2,499.99",441122,NC8F2GBQ5Z8103,int_0103,7,C2B
R-10009,2026-03-11 13:09:05,50.00,882211,NCMRK7K48Y8104,int_0104,7,C2B
R-10010,2026-03-11 13:10:05,100.00,441122,NCCGADYQZN8105,int_0105,7,C2B
R-10011,2026-03-11 13:11:05,120.00,441122,NCV2JFEPL58106,int_0106,7,C2B
R-10012,2026-03-11 13:12:05,147.06,441122,NCAXSFR4268107,int_0107,7,C2B
R-10013,2026-03-11 13:13:05,150.00,441122,NCEFCUWCUZ8108,int_0108,5,C2B
R-10014,2026-03-11 13:14:05,199.00,441122,NCW548AXTA8109,int_0109,7,C2B
R-10015,2026-03-11 13:15:05,250.00,441122,NCNCTYDMR58110,int_0110,7,C2B
R-10016,2026-03-11 13:16:05,333.33,441122,NCPK338WH28111,int_0111,7,C2B
R-10017,2026-03-11 13:17:05,501.00,441122,NCDEBG56C48112,int_0112,7,C2B
R-10018,2026-03-11 13:18:05,880.00,882211,NC67BMDTB28113,int_0113,7,C2B
R-10019,2026-03-11 13:19:05,"1,250.00",441122,NCZ3X3WM9X8114,int_0114,7,C2B
R-10020,2026-03-11 13:20:05,"2,499.99",441122,NCN7GN62JE8115,int_0115,7,C2B
R-10021,2026-03-11 13:21:05,50.00,441122,NC2T8XUBL78116,int_0116,7,C2B
R-10022,2026-03-11 13:22:05,100.00,441122,NCLJLJF3AW8117,int_0117,7,C2B
R-10023,2026-03-11 13:23:05,120.00,441122,NC2DKDDFNA8118,int_0118,7,C2B
R-10024,2026-03-11 13:24:05,147.06,441122,NCX6UULTEE8119,int_0119,7,C2B
R-10025,2026-03-11 13:25:05,150.00,441122,NCY42KLSMH8120,int_0120,7,C2B
R-10026,2026-03-11 13:26:05,199.00,441122,NC27AUFKDE8121,int_0121,7,C2B
R-10027,2026-03-11 13:27:05,250.00,882211,NCD3BVUGGG8122,int_0122,7,C2B
R-10028,2026-03-11 13:28:05,333.33,441122,NC9KR6XKSW8123,int_0123,7,C2B
R-10029,2026-03-11 13:29:05,501.00,441122,NCQCWVSYZS8124,int_0124,7,C2B
R-10030,2026-03-11 13:30:05,880.00,441122,NCP9JAZKJE8125,int_0125,7,C2B
R-10031,2026-03-11 13:31:05,"1,250.00",441122,NCAHWHWPFK8126,int_0126,7,C2B
R-10032,2026-03-11 13:32:05,"2,499.99",441122,NCNG8VAWWW8127,int_0127,7,C2B
R-10033,2026-03-11 13:33:05,50.00,441122,NC46ZBJ37J8128,int_0128,7,C2B
R-10034,2026-03-11 13:34:05,100.00,441122,NCAESBJK888129,int_0129,7,C2B
R-10035,2026-03-11 13:35:05,120.00,441122,NCVSAAGJBY8130,int_0130,7,C2B
R-10036,2026-03-11 13:36:05,147.06,882211,NCPEJ2ZXUR8131,int_0131,7,C2B
R-10037,2026-03-11 13:37:05,150.00,441122,NCJN6LNZKV8132,int_0132,7,C2B
R-10038,2026-03-11 13:38:05,199.00,441122,NC8WMC6ZY68133,int_0133,7,C2B
R-10039,2026-03-11 13:39:05,250.00,441122,NCT84CYE768134,int_0134,7,C2B
R-REV1,2026-03-11 15:10:00,147.06,441122,NC4M68AB7H8091,int_0014,7,REVERSAL
R-REV2,2026-03-11 15:12:00,147.06,441122,NC4M68AB7H8091,int_0014,7,REVERSAL
R-REV3,2026-03-11 15:15:00,1.00,441122,NOSUCHTRANS9,int_rev_ghost,7,REVERSAL
